Input Size,cudaEventRecord,Duration,DRAM mem,L1 mem,Warp exec %,Warp avg threads,Mem thrpt,DRAM thrpt,L1 thrpt,L2 thrpt,SM Throughput,Occupancy,Branch eff
1024,167.855,5.06 usecond,7.30 Kbyte,4.13 Kbyte,99.87,31.96,0.40,0.04,27.58,0.40,0.17,48.79,100
1000000,19.0138,18.50 usecond,4.00 Mbyte,4.03 Mbyte,99.87,31.96,46.99,10.78,56.61,10.61,45.53,88.49,100
1000000000,41.576,13.69 msecond,4.00 Gbyte,4.03 Gbyte,99.87,31.96,62.69,14.34,62.70,15.69,60.50,91.35,100
2000000000,55.2548,27.39 msecond,8.00 Gbyte,8.06 Gbyte,99.87,31.96,62.70,14.34,62.71,15.71,60.51,91.35,100
